chr,pos,strand,type,start,end,gene,transcript,group
chr1,205356922,-,promoter,205354922,205358922,KLHDC8A,ENST00000367155.8,0.1 <= TPM < 0.2
chr1,207032756,-,promoter,207030756,207034756,C1orf116,ENST00000359470.6,0.1 <= TPM < 0.2
chr1,222815038,+,promoter,222813038,222817038,DISP1,ENST00000675850.1,0.1 <= TPM < 0.2
chr1,228149929,+,promoter,228147929,228151929,GJC2,ENST00000366714.3,0.1 <= TPM < 0.2
chr1,232805415,+,promoter,232803415,232807415,MAP10,ENST00000418460.4,0.1 <= TPM < 0.2
chr1,236394285,+,promoter,236392285,236396285,EDARADD,ENST00000334232.9,0.1 <= TPM < 0.2
chr1,247008057,-,promoter,247006057,247010057,ZNF695,ENST00000339986.8,0.1 <= TPM < 0.2
chr10,4826206,+,promoter,4824206,4828206,AKR1E2,ENST00000298375.12,0.1 <= TPM < 0.2
chr10,15371289,-,promoter,15369289,15373289,FAM171A1,ENST00000378116.9,0.1 <= TPM < 0.2
chr10,20897311,-,promoter,20895311,20899311,NEBL,ENST00000377122.9,0.1 <= TPM < 0.2
chr10,25016158,-,promoter,25014158,25018158,ENKUR,ENST00000331161.9,0.1 <= TPM < 0.2
chr10,33334667,-,promoter,33332667,33336667,NRP1,ENST00000374867.7,0.1 <= TPM < 0.2
chr10,45315608,-,promoter,45313608,45317608,OR13A1,ENST00000553795.6,0.1 <= TPM < 0.2
chr10,69220331,+,promoter,69218331,69222331,HKDC1,ENST00000354624.6,0.1 <= TPM < 0.2
chr10,79512532,+,promoter,79510532,79514532,EIF5AL1,ENST00000520547.4,0.1 <= TPM < 0.2
chr10,79949105,-,promoter,79947105,79951105,SFTPD,ENST00000372292.8,0.1 <= TPM < 0.2
chr10,91410343,+,promoter,91408343,91412343,HECTD2,ENST00000298068.10,0.1 <= TPM < 0.2
chr10,91909486,-,promoter,91907486,91911486,FGFBP3,ENST00000311575.6,0.1 <= TPM < 0.2
chr10,95907974,+,promoter,95905974,95909974,CC2D2B,ENST00000646931.3,0.1 <= TPM < 0.2
chr10,97185959,-,promoter,97183959,97187959,SLIT1,ENST00000266058.9,0.1 <= TPM < 0.2
chr10,102226298,+,promoter,102224298,102228298,ELOVL3,ENST00000370005.4,0.1 <= TPM < 0.2
chr10,102451543,-,promoter,102449543,102453543,C10orf95,ENST00000625129.1,0.1 <= TPM < 0.2
chr10,133336896,-,promoter,133334896,133338896,CALY,ENST00000252939.9,0.1 <= TPM < 0.2
chr11,369498,+,promoter,367498,371498,B4GALNT4,ENST00000329962.11,0.1 <= TPM < 0.2
chr11,6655809,-,promoter,6653809,6657809,DCHS1,ENST00000299441.5,0.1 <= TPM < 0.2
chr11,6926425,+,promoter,6924425,6928425,ZNF215,ENST00000278319.10,0.1 <= TPM < 0.2
chr11,9091599,-,promoter,9089599,9093599,SCUBE2,ENST00000649792.2,0.1 <= TPM < 0.2
chr11,11353250,-,promoter,11351250,11355250,CSNK2A3,ENST00000528848.3,0.1 <= TPM < 0.2
chr11,13962722,+,promoter,13960722,13964722,SPON1,ENST00000576479.4,0.1 <= TPM < 0.2
chr11,17351799,+,promoter,17349799,17353799,NCR3LG1,ENST00000338965.9,0.1 <= TPM < 0.2
chr11,18599788,+,promoter,18597788,18601788,SPTY2D1OS,ENST00000635674.2,0.1 <= TPM < 0.2
chr11,18698778,+,promoter,18696778,18700778,TMEM86A,ENST00000280734.3,0.1 <= TPM < 0.2
chr11,18726188,-,promoter,18724188,18728188,IGSF22,ENST00000513874.6,0.1 <= TPM < 0.2
chr11,19712836,+,promoter,19710836,19714836,NAV2,ENST00000349880.9,0.1 <= TPM < 0.2
chr11,35618459,+,promoter,35616459,35620459,FJX1,ENST00000317811.6,0.1 <= TPM < 0.2
chr11,47594411,-,promoter,47592411,47596411,C1QTNF4,ENST00000302514.4,0.1 <= TPM < 0.2
chr11,57460527,+,promoter,57458527,57462527,RTN4RL2,ENST00000335099.8,0.1 <= TPM < 0.2
chr11,58622664,+,promoter,58620664,58624664,CNTF,ENST00000361987.6,0.1 <= TPM < 0.2
chr11,62707675,+,promoter,62705675,62709675,GNG3,ENST00000294117.6,0.1 <= TPM < 0.2
chr11,64723197,-,promoter,64721197,64725197,NRXN2,ENST00000265459.11,0.1 <= TPM < 0.2
chr11,73272337,+,promoter,73270337,73274337,P2RY6,ENST00000540124.6,0.1 <= TPM < 0.2
chr11,75433203,-,promoter,75431203,75435203,KLHL35,ENST00000539798.3,0.1 <= TPM < 0.2
chr11,77589952,+,promoter,77587952,77591952,AQP11,ENST00000313578.4,0.1 <= TPM < 0.2
chr11,85627344,-,promoter,85625344,85629344,DLG2,ENST00000376104.7,0.1 <= TPM < 0.2
chr11,100687287,+,promoter,100685287,100689287,ARHGAP42,ENST00000298815.13,0.1 <= TPM < 0.2
chr11,103109425,+,promoter,103107425,103111425,DYNC2H1,ENST00000375735.7,0.1 <= TPM < 0.2
chr11,107928447,+,promoter,107926447,107930447,RAB39A,ENST00000320578.3,0.1 <= TPM < 0.2
chr11,111540719,+,promoter,111538719,111542719,LAYN,ENST00000375614.7,0.1 <= TPM < 0.2
chr11,111937342,+,promoter,111935342,111939342,DIXDC1,ENST00000440460.7,0.1 <= TPM < 0.2
chr11,113387778,+,promoter,113385778,113389778,ANKK1,ENST00000303941.4,0.1 <= TPM < 0.2
chr11,113706308,-,promoter,113704308,113708308,TMPRSS5,ENST00000299882.11,0.1 <= TPM < 0.2
chr11,120511747,+,promoter,120509747,120513747,GRIK4,ENST00000527524.8,0.1 <= TPM < 0.2
chr11,122882758,+,promoter,122880758,122884758,JHY,ENST00000227349.7,0.1 <= TPM < 0.2
chr11,127000770,-,promoter,126998770,127002770,KIRREL3,ENST00000525144.7,0.1 <= TPM < 0.2
chr11,129192325,-,promoter,129190325,129194325,ARHGAP32,ENST00000682385.1,0.1 <= TPM < 0.2
chr12,4649051,-,promoter,4647051,4651051,AKAP3,ENST00000228850.6,0.1 <= TPM < 0.2
chr12,6700815,-,promoter,6698815,6702815,PIANP,ENST00000534837.6,0.1 <= TPM < 0.2
chr12,8227618,-,promoter,8225618,8229618,FAM90A1,ENST00000538603.6,0.1 <= TPM < 0.2
chr12,8455961,+,promoter,8453961,8457961,CLEC6A,ENST00000382073.4,0.1 <= TPM < 0.2
chr12,10030681,+,promoter,10028681,10032681,CLEC9A,ENST00000355819.6,0.1 <= TPM < 0.2
chr12,10674052,-,promoter,10672052,10676052,STYK1,ENST00000075503.8,0.1 <= TPM < 0.2
chr12,10998304,-,promoter,10996304,11000304,TAS2R20,ENST00000538986.2,0.1 <= TPM < 0.2
chr12,12952170,-,promoter,12950170,12954170,GPRC5D,ENST00000228887.6,0.1 <= TPM < 0.2
chr12,14973041,+,promoter,14971041,14975041,PDE6H,ENST00000266395.3,0.1 <= TPM < 0.2
chr12,19129732,+,promoter,19127732,19131732,PLEKHA5,ENST00000429027.7,0.1 <= TPM < 0.2
chr12,26195572,+,promoter,26193572,26197572,SSPN,ENST00000242729.7,0.1 <= TPM < 0.2
chr12,31792298,-,promoter,31790298,31794298,H3-5,ENST00000340398.5,0.1 <= TPM < 0.2
chr12,48999375,-,promoter,48997375,49001375,DDN,ENST00000421952.3,0.1 <= TPM < 0.2
chr12,52274644,+,promoter,52272644,52276644,KRT86,ENST00000423955.7,0.1 <= TPM < 0.2
chr12,56080164,+,promoter,56078164,56082164,ERBB3,ENST00000267101.8,0.1 <= TPM < 0.2
chr12,56957608,-,promoter,56955608,56959608,RDH16,ENST00000398138.5,0.1 <= TPM < 0.2
chr12,57050129,-,promoter,57048129,57052129,MYO1A,ENST00000300119.8,0.1 <= TPM < 0.2
chr12,57216793,+,promoter,57214793,57218793,NXPH4,ENST00000349394.6,0.1 <= TPM < 0.2
chr12,57455306,+,promoter,57453306,57457306,INHBE,ENST00000266646.3,0.1 <= TPM < 0.2
chr12,57550043,+,promoter,57548043,57552043,KIF5A,ENST00000455537.7,0.1 <= TPM < 0.2
chr12,57767078,-,promoter,57765078,57769078,CYP27B1,ENST00000228606.9,0.1 <= TPM < 0.2
chr12,62935150,-,promoter,62933150,62937150,PPM1H,ENST00000228705.7,0.1 <= TPM < 0.2
chr12,63844699,+,promoter,63842699,63846699,SRGAP1,ENST00000355086.8,0.1 <= TPM < 0.2
chr12,70366289,+,promoter,70364289,70368289,KCNMB4,ENST00000258111.5,0.1 <= TPM < 0.2
chr12,100267079,-,promoter,100265079,100269079,DEPDC4,ENST00000550587.6,0.1 <= TPM < 0.2
chr12,101739462,-,promoter,101737462,101741462,SYCP3,ENST00000392924.2,0.1 <= TPM < 0.2
chr12,110502330,+,promoter,110500330,110504330,RAD9B,ENST00000409300.6,0.1 <= TPM < 0.2
chr12,113221094,-,promoter,113219094,113223094,IQCD,ENST00000416617.3,0.1 <= TPM < 0.2
chr12,122183122,+,promoter,122181122,122185122,LRRC43,ENST00000339777.5,0.1 <= TPM < 0.2
chr12,123762300,+,promoter,123760300,123764300,DNAH10,ENST00000673944.1,0.1 <= TPM < 0.2
chr12,133130274,-,promoter,133128274,133132274,ZNF891,ENST00000537226.3,0.1 <= TPM < 0.2
chr13,20703698,+,promoter,20701698,20705698,IL17D,ENST00000682841.1,0.1 <= TPM < 0.2
chr13,33016422,+,promoter,33014422,33018422,KL,ENST00000380099.4,0.1 <= TPM < 0.2
chr13,36920238,-,promoter,36918238,36922238,SMAD9,ENST00000379826.5,0.1 <= TPM < 0.2
chr13,37105664,-,promoter,37103664,37107664,CSNK1A1L,ENST00000379800.4,0.1 <= TPM < 0.2
chr13,50843692,-,promoter,50841692,50845692,DLEU7,ENST00000504404.2,0.1 <= TPM < 0.2
chr13,52011450,-,promoter,52009450,52013450,ATP7B,ENST00000242839.10,0.1 <= TPM < 0.2
chr13,110307157,-,promoter,110305157,110309157,COL4A1,ENST00000375820.10,0.1 <= TPM < 0.2
chr14,51651909,+,promoter,51649909,51653909,FRMD6,ENST00000344768.10,0.1 <= TPM < 0.2
chr14,67533289,+,promoter,67531289,67535289,PLEKHH1,ENST00000329153.10,0.1 <= TPM < 0.2
chr14,72894101,-,promoter,72892101,72896101,DPF3,ENST00000556509.6,0.1 <= TPM < 0.2
chr14,75069640,+,promoter,75067640,75071640,ZC2HC1C,ENST00000524913.3,0.1 <= TPM < 0.2
chr14,77377378,+,promoter,77375378,77379378,SAMD15,ENST00000216471.5,0.1 <= TPM < 0.2
chr14,81400324,-,promoter,81398324,81402324,STON2,ENST00000614646.5,0.1 <= TPM < 0.2
chr14,88792953,-,promoter,88790953,88794953,EML5,ENST00000554922.6,0.1 <= TPM < 0.2
chr14,100159645,-,promoter,100157645,100161645,DEGS2,ENST00000305631.7,0.1 <= TPM < 0.2
chr14,104865267,+,promoter,104863267,104867267,CEP170B,ENST00000414716.8,0.1 <= TPM < 0.2
chr14,105398537,+,promoter,105396537,105400537,TEX22,ENST00000451127.3,0.1 <= TPM < 0.2
chr14,105526582,+,promoter,105524582,105528582,TMEM121,ENST00000392519.7,0.1 <= TPM < 0.2
chr15,30552049,+,promoter,30550049,30554049,GOLGA8Q,ENST00000562783.2,0.1 <= TPM < 0.2
chr15,32641709,+,promoter,32639709,32643709,SCG5,ENST00000300175.9,0.1 <= TPM < 0.2
chr15,38252835,+,promoter,38250835,38254835,SPRED1,ENST00000299084.9,0.1 <= TPM < 0.2
chr15,40239062,+,promoter,40237062,40241062,PAK6,ENST00000560346.6,0.1 <= TPM < 0.2
chr15,41493873,+,promoter,41491873,41495873,ITPKA,ENST00000260386.7,0.1 <= TPM < 0.2
chr15,41559211,+,promoter,41557211,41561211,TYRO3,ENST00000263798.8,0.1 <= TPM < 0.2
chr15,41894053,-,promoter,41892053,41896053,SPTBN5,ENST00000320955.8,0.1 <= TPM < 0.2
chr15,43517607,+,promoter,43515607,43519607,MAP1A,ENST00000300231.6,0.1 <= TPM < 0.2
chr15,43800220,-,promoter,43798220,43802220,SERINC4,ENST00000319327.7,0.1 <= TPM < 0.2
chr15,45522755,-,promoter,45520755,45524755,SLC30A4,ENST00000261867.5,0.1 <= TPM < 0.2
chr15,58431990,+,promoter,58429990,58433990,LIPC,ENST00000299022.10,0.1 <= TPM < 0.2
chr15,68578992,+,promoter,68576992,68580992,CORO2B,ENST00000261861.10,0.1 <= TPM < 0.2
chr15,70892825,+,promoter,70890825,70894825,LRRC49,ENST00000260382.10,0.1 <= TPM < 0.2
chr15,78507576,+,promoter,78505576,78509576,HYKK,ENST00000388988.9,0.1 <= TPM < 0.2
chr15,81134269,+,promoter,81132269,81136269,CFAP161,ENST00000286732.5,0.1 <= TPM < 0.2
chr15,84817355,+,promoter,84815355,84819355,ALPK3,ENST00000258888.6,0.1 <= TPM < 0.2
chr15,89751249,-,promoter,89749249,89753249,MESP1,ENST00000300057.5,0.1 <= TPM < 0.2
chr15,89912952,-,promoter,89910952,89914952,ARPIN,ENST00000357484.10,0.1 <= TPM < 0.2
chr15,93089211,-,promoter,93087211,93091211,RGMA,ENST00000329082.12,0.1 <= TPM < 0.2
chr15,100341975,-,promoter,100339975,100343975,ADAMTS17,ENST00000268070.9,0.1 <= TPM < 0.2
chr16,630984,+,promoter,628984,632984,WFIKKN1,ENST00000319070.3,0.1 <= TPM < 0.2
chr16,1153105,+,promoter,1151105,1155105,CACNA1H,ENST00000348261.11,0.1 <= TPM < 0.2
chr16,2148624,+,promoter,2146624,2150624,RAB26,ENST00000210187.11,0.1 <= TPM < 0.2
chr16,2964274,+,promoter,2962274,2966274,KREMEN2,ENST00000303746.10,0.1 <= TPM < 0.2
chr16,4371847,+,promoter,4369847,4373847,VASN,ENST00000304735.4,0.1 <= TPM < 0.2
chr16,19718270,+,promoter,19716270,19720270,IQCK,ENST00000695302.1,0.1 <= TPM < 0.2
chr16,30011027,-,promoter,30009027,30013027,DOC2A,ENST00000350119.9,0.1 <= TPM < 0.2
chr16,30896613,+,promoter,30894613,30898613,CTF1,ENST00000279804.3,0.1 <= TPM < 0.2
chr16,31483122,+,promoter,31481122,31485122,SLC5A2,ENST00000330498.4,0.1 <= TPM < 0.2
chr16,66427294,+,promoter,66425294,66429294,BEAN1,ENST00000536005.7,0.1 <= TPM < 0.2
chr16,66961265,+,promoter,66959265,66963265,CES3,ENST00000303334.9,0.1 <= TPM < 0.2
chr16,67190136,-,promoter,67188136,67192136,EXOC3L1,ENST00000314586.11,0.1 <= TPM < 0.2
chr16,67806888,+,promoter,67804888,67808888,TSNAXIP1,ENST00000561639.6,0.1 <= TPM < 0.2
chr16,68236127,-,promoter,68234127,68238127,ESRP2,ENST00000473183.7,0.1 <= TPM < 0.2
chr16,73048128,-,promoter,73046128,73050128,ZFHX3,ENST00000268489.10,0.1 <= TPM < 0.2
chr16,81077238,-,promoter,81075238,81079238,C16orf46,ENST00000299578.10,0.1 <= TPM < 0.2
chr16,81314961,+,promoter,81312961,81316961,GAN,ENST00000648994.2,0.1 <= TPM < 0.2
chr16,82626968,+,promoter,82624968,82628968,CDH13,ENST00000567109.6,0.1 <= TPM < 0.2
chr16,89200537,-,promoter,89198537,89202537,SLC22A31,ENST00000682282.1,0.1 <= TPM < 0.2
chr16,89923341,+,promoter,89921341,89925341,TUBB3,ENST00000315491.12,0.1 <= TPM < 0.2
chr17,181650,-,promoter,179650,183650,DOC2B,ENST00000613549.3,0.1 <= TPM < 0.2
chr17,7281717,+,promoter,7279717,7283717,SLC2A4,ENST00000317370.13,0.1 <= TPM < 0.2
chr17,18682314,-,promoter,18680314,18684314,FOXO3B,ENST00000395675.7,0.1 <= TPM < 0.2
chr17,29006033,-,promoter,29004033,29008033,SEZ6,ENST00000317338.17,0.1 <= TPM < 0.2
chr17,35795641,-,promoter,35793641,35797641,MMP28,ENST00000605424.6,0.1 <= TPM < 0.2
chr17,35868891,-,promoter,35866891,35870891,HEATR9,ENST00000604834.6,0.1 <= TPM < 0.2
chr17,38605952,-,promoter,38603952,38607952,SRCIN1,ENST00000617146.5,0.1 <= TPM < 0.2
chr17,39626951,+,promoter,39624951,39628951,PPP1R1B,ENST00000254079.9,0.1 <= TPM < 0.2
chr17,39668452,+,promoter,39666452,39670452,PNMT,ENST00000269582.3,0.1 <= TPM < 0.2
chr17,41865423,-,promoter,41863423,41867423,KLHL11,ENST00000319121.4,0.1 <= TPM < 0.2
chr17,42122803,+,promoter,42120803,42124803,HSPB9,ENST00000565659.2,0.1 <= TPM < 0.2
chr17,43661922,-,promoter,43659922,43663922,MEOX1,ENST00000318579.9,0.1 <= TPM < 0.2
chr17,43833146,-,promoter,43831146,43835146,MPP3,ENST00000398389.9,0.1 <= TPM < 0.2
chr17,44899728,+,promoter,44897728,44901728,CCDC103,ENST00000417826.3,0.1 <= TPM < 0.2
chr17,49969189,+,promoter,49967189,49971189,DLX4,ENST00000240306.5,0.1 <= TPM < 0.2
chr17,50468880,-,promoter,50466880,50470880,CHAD,ENST00000508540.6,0.1 <= TPM < 0.2
chr17,50508438,+,promoter,50506438,50510438,MYCBPAP,ENST00000323776.11,0.1 <= TPM < 0.2
chr17,66192133,-,promoter,66190133,66194133,CEP112,ENST00000535342.7,0.1 <= TPM < 0.2
chr17,75515537,-,promoter,75513537,75517537,CASKIN2,ENST00000321617.8,0.1 <= TPM < 0.2
chr17,75646250,+,promoter,75644250,75648250,SMIM6,ENST00000579469.2,0.1 <= TPM < 0.2
chr17,76467602,+,promoter,76465602,76469602,AANAT,ENST00000392492.8,0.1 <= TPM < 0.2
chr17,79778147,+,promoter,79776147,79780147,CBX2,ENST00000310942.9,0.1 <= TPM < 0.2
chr18,46334017,+,promoter,46332017,46336017,RNF165,ENST00000269439.12,0.1 <= TPM < 0.2
chr18,54828476,+,promoter,54826476,54830476,RAB27B,ENST00000262094.10,0.1 <= TPM < 0.2
chr18,57803315,-,promoter,57801315,57805315,ATP8B1,ENST00000648908.2,0.1 <= TPM < 0.2
chr18,74147834,-,promoter,74145834,74149834,FBXO15,ENST00000419743.7,0.1 <= TPM < 0.2
chr19,461033,-,promoter,459033,463033,SHC2,ENST00000264554.11,0.1 <= TPM < 0.2
chr19,589880,+,promoter,587880,591880,HCN2,ENST00000251287.3,0.1 <= TPM < 0.2
chr19,2249322,+,promoter,2247322,2251322,AMH,ENST00000221496.5,0.1 <= TPM < 0.2
chr19,3585477,+,promoter,3583477,3587477,GIPC3,ENST00000644452.3,0.1 <= TPM < 0.2
chr19,3869038,-,promoter,3867038,3871038,ZFR2,ENST00000262961.9,0.1 <= TPM < 0.2
chr19,3933068,+,promoter,3931068,3935068,NMRK2,ENST00000168977.7,0.1 <= TPM < 0.2
chr19,7914829,+,promoter,7912829,7916829,TGFBR3L,ENST00000565886.2,0.1 <= TPM < 0.2
chr19,10010504,-,promoter,10008504,10012504,COL5A3,ENST00000264828.4,0.1 <= TPM < 0.2
chr19,11296159,+,promoter,11294159,11298159,TSPAN16,ENST00000590327.6,0.1 <= TPM < 0.2
chr19,11798522,+,promoter,11796522,11800522,ZNF491,ENST00000323169.10,0.1 <= TPM < 0.2
chr19,12052961,-,promoter,12050961,12054961,ZNF878,ENST00000547628.2,0.1 <= TPM < 0.2
chr19,13877133,+,promoter,13875133,13879133,NANOS3,ENST00000339133.6,0.1 <= TPM < 0.2
chr19,15200995,-,promoter,15198995,15202995,NOTCH3,ENST00000263388.7,0.1 <= TPM < 0.2
chr19,17394196,-,promoter,17392196,17396196,CCDC194,ENST00000636079.2,0.1 <= TPM < 0.2
chr19,22052483,+,promoter,22050483,22054483,ZNF257,ENST00000594947.6,0.1 <= TPM < 0.2
chr19,23758891,-,promoter,23756891,23760891,ZNF681,ENST00000402377.3,0.1 <= TPM < 0.2
chr19,35135059,-,promoter,35133059,35137059,LGI4,ENST00000310123.8,0.1 <= TPM < 0.2
chr19,35371067,+,promoter,35369067,35373067,GPR42,ENST00000454971.3,0.1 <= TPM < 0.2
chr19,36772807,-,promoter,36770807,36774807,ZNF850,ENST00000591344.2,0.1 <= TPM < 0.2
chr19,36916291,-,promoter,36914291,36918291,ZNF829,ENST00000391711.8,0.1 <= TPM < 0.2
chr19,38388034,-,promoter,38386034,38390034,GGN,ENST00000334928.11,0.1 <= TPM < 0.2
chr19,38388696,+,promoter,38386696,38390696,SPRED3,ENST00000691638.1,0.1 <= TPM < 0.2
chr19,38912186,-,promoter,38910186,38914186,CCER2,ENST00000571838.2,0.1 <= TPM < 0.2
chr19,40467000,+,promoter,40465000,40469000,SPTBN4,ENST00000598249.6,0.1 <= TPM < 0.2
chr19,41219222,+,promoter,41217222,41221222,AXL,ENST00000301178.9,0.1 <= TPM < 0.2
chr19,42070206,-,promoter,42068206,42072206,GRIK5,ENST00000593562.6,0.1 <= TPM < 0.2
chr19,42302131,+,promoter,42300131,42304131,PRR19,ENST00000341747.8,0.1 <= TPM < 0.2
chr19,43612087,+,promoter,43610087,43614087,SRRM5,ENST00000417606.3,0.1 <= TPM < 0.2
chr19,43951227,+,promoter,43949227,43953227,ZNF221,ENST00000587682.6,0.1 <= TPM < 0.2
chr19,44259885,+,promoter,44257885,44261885,ZNF233,ENST00000683810.1,0.1 <= TPM < 0.2
chr19,44401608,-,promoter,44399608,44403608,ZNF285,ENST00000614994.5,0.1 <= TPM < 0.2
chr19,47019836,+,promoter,47017836,47021836,NPAS1,ENST00000602212.6,0.1 <= TPM < 0.2
chr19,48044079,-,promoter,48042079,48046079,CABP5,ENST00000293255.3,0.1 <= TPM < 0.2
chr19,48455573,+,promoter,48453573,48457573,KCNJ14,ENST00000342291.3,0.1 <= TPM < 0.2
chr19,48719725,-,promoter,48717725,48721725,MAMSTR,ENST00000318083.11,0.1 <= TPM < 0.2
chr19,48933698,+,promoter,48931698,48935698,DHDH,ENST00000221403.7,0.1 <= TPM < 0.2
chr19,49691115,+,promoter,49689115,49693115,CPT1C,ENST00000598293.6,0.1 <= TPM < 0.2
chr19,51082887,-,promoter,51080887,51084887,KLK14,ENST00000650543.2,0.1 <= TPM < 0.2
chr19,52336242,+,promoter,52334242,52338242,ZNF610,ENST00000403906.8,0.1 <= TPM < 0.2
chr19,53132910,-,promoter,53130910,53134910,ZNF415,ENST00000243643.9,0.1 <= TPM < 0.2
chr19,56567467,+,promoter,56565467,56569467,ZNF470,ENST00000330619.13,0.1 <= TPM < 0.2
chr19,58059281,+,promoter,58057281,58061281,ZNF135,ENST00000313434.10,0.1 <= TPM < 0.2
chr2,9951692,+,promoter,9949692,9953692,GRHL1,ENST00000324907.14,0.1 <= TPM < 0.2
chr2,23385178,+,promoter,23383178,23387178,KLHL29,ENST00000486442.6,0.1 <= TPM < 0.2
chr2,26346789,-,promoter,26344789,26348789,ADGRF3,ENST00000651242.2,0.1 <= TPM < 0.2
chr2,27123814,+,promoter,27121814,27125814,ABHD1,ENST00000316470.9,0.1 <= TPM < 0.2
chr2,39665916,+,promoter,39663916,39667916,TMEM178A,ENST00000281961.3,0.1 <= TPM < 0.2
chr2,44275479,+,promoter,44273479,44277479,SLC3A1,ENST00000260649.11,0.1 <= TPM < 0.2
chr2,53859967,-,promoter,53857967,53861967,GPR75,ENST00000394705.3,0.1 <= TPM < 0.2
chr2,54723661,+,promoter,54721661,54725661,EML6,ENST00000356458.8,0.1 <= TPM < 0.2
chr2,68319949,-,promoter,68317949,68321949,CNRIP1,ENST00000263655.4,0.1 <= TPM < 0.2
chr2,68467584,+,promoter,68465584,68469584,APLF,ENST00000303795.9,0.1 <= TPM < 0.2
chr2,98936225,-,promoter,98934225,98938225,CRACDL,ENST00000397899.7,0.1 <= TPM < 0.2
chr2,100820138,+,promoter,100818138,100822138,NPAS2,ENST00000335681.10,0.1 <= TPM < 0.2
chr2,110205013,-,promoter,110203013,110207013,NPHP1,ENST00000445609.7,0.1 <= TPM < 0.2
chr2,120346135,+,promoter,120344135,120348135,INHBB,ENST00000295228.4,0.1 <= TPM < 0.2
chr2,168802636,+,promoter,168800636,168804636,NOSTRIN,ENST00000317647.12,0.1 <= TPM < 0.2
chr2,177618742,-,promoter,177616742,177620742,TTC30A,ENST00000355689.6,0.1 <= TPM < 0.2
chr2,179050137,-,promoter,179048137,179052137,CCDC141,ENST00000443758.7,0.1 <= TPM < 0.2
chr2,197675587,-,promoter,197673587,197677587,RFTN2,ENST00000295049.9,0.1 <= TPM < 0.2
chr2,203535301,-,promoter,203533301,203537301,RAPH1,ENST00000319170.10,0.1 <= TPM < 0.2
chr2,209424046,+,promoter,209422046,209426046,MAP2,ENST00000682079.1,0.1 <= TPM < 0.2
chr2,218419122,+,promoter,218417122,218421122,VIL1,ENST00000248444.10,0.1 <= TPM < 0.2
chr2,226799820,-,promoter,226797820,226801820,IRS1,ENST00000305123.6,0.1 <= TPM < 0.2
chr2,229922502,+,promoter,229920502,229924502,FBXO36,ENST00000283946.8,0.1 <= TPM < 0.2
chr2,230068924,-,promoter,230066924,230070924,SLC16A14,ENST00000295190.9,0.1 <= TPM < 0.2
chr2,232633603,+,promoter,232631603,232635603,EFHD1,ENST00000264059.8,0.1 <= TPM < 0.2
chr2,237798778,+,promoter,237796778,237800778,RBM44,ENST00000316997.9,0.1 <= TPM < 0.2
chr2,241188676,+,promoter,241186676,241190676,ANO7,ENST00000674324.2,0.1 <= TPM < 0.2
chr20,3239190,-,promoter,3237190,3241190,SLC4A11,ENST00000642402.1,0.1 <= TPM < 0.2
chr20,10034986,+,promoter,10032986,10036986,ANKEF1,ENST00000378392.6,0.1 <= TPM < 0.2
chr20,25585531,-,promoter,25583531,25587531,NINL,ENST00000278886.11,0.1 <= TPM < 0.2
chr20,36154739,+,promoter,36152739,36156739,EPB41L1,ENST00000338074.7,0.1 <= TPM < 0.2
chr20,43559026,+,promoter,43557026,43561026,SGK2,ENST00000373100.7,0.1 <= TPM < 0.2
chr20,44715368,+,promoter,44713368,44717368,CCN5,ENST00000190983.5,0.1 <= TPM < 0.2
chr20,45791883,-,promoter,45789883,45793883,WFDC3,ENST00000243938.9,0.1 <= TPM < 0.2
chr20,45887622,-,promoter,45885622,45889622,SPATA25,ENST00000372519.4,0.1 <= TPM < 0.2
chr20,50731579,+,promoter,50729579,50733579,PARD6B,ENST00000371610.7,0.1 <= TPM < 0.2
chr20,52972357,+,promoter,52970357,52974357,TSHZ2,ENST00000371497.10,0.1 <= TPM < 0.2
chr21,32585523,-,promoter,32583523,32587523,TCP10L,ENST00000300258.8,0.1 <= TPM < 0.2
chr21,39445778,-,promoter,39443778,39447778,LCA5L,ENST00000288350.8,0.1 <= TPM < 0.2
chr22,23751112,-,promoter,23749112,23753112,ZNF70,ENST00000341976.5,0.1 <= TPM < 0.2
chr22,23762989,+,promoter,23760989,23764989,C22orf15,ENST00000402217.8,0.1 <= TPM < 0.2
chr22,24181486,+,promoter,24179486,24183486,SUSD2,ENST00000358321.4,0.1 <= TPM < 0.2
chr22,24952715,+,promoter,24950715,24954715,KIAA1671,ENST00000358431.8,0.1 <= TPM < 0.2
chr22,29315697,-,promoter,29313697,29317697,RASL10A,ENST00000216101.7,0.1 <= TPM < 0.2
chr22,29720002,+,promoter,29718002,29722002,CABP7,ENST00000216144.4,0.1 <= TPM < 0.2
chr22,36028824,-,promoter,36026824,36030824,RBFOX2,ENST00000695854.1,0.1 <= TPM < 0.2
chr22,36201809,-,promoter,36199809,36203809,APOL4,ENST00000683024.1,0.1 <= TPM < 0.2
chr22,38468095,+,promoter,38466095,38470095,KDELR3,ENST00000216014.9,0.1 <= TPM < 0.2
chr22,41998787,+,promoter,41996787,42000787,WBP2NL,ENST00000328823.13,0.1 <= TPM < 0.2
chr22,45413692,+,promoter,45411692,45415692,RIBC2,ENST00000614167.2,0.1 <= TPM < 0.2
chr3,3110374,-,promoter,3108374,3112374,IL5RA,ENST00000446632.7,0.1 <= TPM < 0.2
